Namespace(data_dir='./data/', output_dir='output/', data_name='Sports_and_Outdoors', do_eval=False, ckp=0, hidden_size=64, embedding_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='FMLPRecModel', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=0.5, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/Sports_and_Outdoors', item_size=18359, log_file='output/DWS-FMLPRecModel-Mamba4Rec-Sports_and_Outdoors-a1.0-b1.0-l0.5-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-FMLPRecModel-Mamba4Rec-Sports_and_Outdoors-a1.0-b1.0-l0.5-dwsb1.0-t0.0-1762545861.4054103.pt')
{'epoch': 0, 'avg_loss': '7.1090', 'avg_bpr_loss': '7.0477', 'avg_kd_loss': '0.0613'}
{'Epoch': 0, 'HIT@5': '0.0044', 'NDCG@5': '0.0029', 'HIT@10': '0.0063', 'NDCG@10': '0.0035', 'HIT@20': '0.0114', 'NDCG@20': '0.0047'}
{'Epoch': 0, 'HIT@5': '0.0063', 'NDCG@5': '0.0040', 'HIT@10': '0.0087', 'NDCG@10': '0.0048', 'HIT@20': '0.0139', 'NDCG@20': '0.0061'}
{'Epoch': 0, 'HIT@5': '0.0063', 'NDCG@5': '0.0042', 'HIT@10': '0.0087', 'NDCG@10': '0.0050', 'HIT@20': '0.0128', 'NDCG@20': '0.0060'}
Model 1 (FMLPRecModel) Results: {'Epoch': 0, 'HIT@5': '0.0044', 'NDCG@5': '0.0029', 'HIT@10': '0.0063', 'NDCG@10': '0.0035', 'HIT@20': '0.0114', 'NDCG@20': '0.0047'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0063', 'NDCG@5': '0.0040', 'HIT@10': '0.0087', 'NDCG@10': '0.0048', 'HIT@20': '0.0139', 'NDCG@20': '0.0061'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0063', 'NDCG@5': '0.0042', 'HIT@10': '0.0087', 'NDCG@10': '0.0050', 'HIT@20': '0.0128', 'NDCG@20': '0.0060'}
{'Epoch': 0, 'HIT@5': '0.0034', 'NDCG@5': '0.0025', 'HIT@10': '0.0051', 'NDCG@10': '0.0031', 'HIT@20': '0.0093', 'NDCG@20': '0.0041'}
{'Epoch': 0, 'HIT@5': '0.0034', 'NDCG@5': '0.0025', 'HIT@10': '0.0059', 'NDCG@10': '0.0034', 'HIT@20': '0.0098', 'NDCG@20': '0.0044'}
{'Epoch': 0, 'HIT@5': '0.0039', 'NDCG@5': '0.0028', 'HIT@10': '0.0070', 'NDCG@10': '0.0038', 'HIT@20': '0.0115', 'NDCG@20': '0.0049'}
Model 1 (FMLPRecModel) Results: {'Epoch': 0, 'HIT@5': '0.0034', 'NDCG@5': '0.0025', 'HIT@10': '0.0051', 'NDCG@10': '0.0031', 'HIT@20': '0.0093', 'NDCG@20': '0.0041'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0034', 'NDCG@5': '0.0025', 'HIT@10': '0.0059', 'NDCG@10': '0.0034', 'HIT@20': '0.0098', 'NDCG@20': '0.0044'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0039', 'NDCG@5': '0.0028', 'HIT@10': '0.0070', 'NDCG@10': '0.0038', 'HIT@20': '0.0115', 'NDCG@20': '0.0049'}
{'epoch': 1, 'avg_loss': '7.0251', 'avg_bpr_loss': '7.0172', 'avg_kd_loss': '0.0079'}
{'Epoch': 1, 'HIT@5': '0.0072', 'NDCG@5': '0.0043', 'HIT@10': '0.0097', 'NDCG@10': '0.0051', 'HIT@20': '0.0129', 'NDCG@20': '0.0059'}
{'Epoch': 1, 'HIT@5': '0.0062', 'NDCG@5': '0.0043', 'HIT@10': '0.0105', 'NDCG@10': '0.0057', 'HIT@20': '0.0149', 'NDCG@20': '0.0068'}
{'Epoch': 1, 'HIT@5': '0.0076', 'NDCG@5': '0.0054', 'HIT@10': '0.0115', 'NDCG@10': '0.0067', 'HIT@20': '0.0164', 'NDCG@20': '0.0079'}
Model 1 (FMLPRecModel) Results: {'Epoch': 1, 'HIT@5': '0.0072', 'NDCG@5': '0.0043', 'HIT@10': '0.0097', 'NDCG@10': '0.0051', 'HIT@20': '0.0129', 'NDCG@20': '0.0059'}
Model 2 (Mamba4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0062', 'NDCG@5': '0.0043', 'HIT@10': '0.0105', 'NDCG@10': '0.0057', 'HIT@20': '0.0149', 'NDCG@20': '0.0068'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0076', 'NDCG@5': '0.0054', 'HIT@10': '0.0115', 'NDCG@10': '0.0067', 'HIT@20': '0.0164', 'NDCG@20': '0.0079'}
{'Epoch': 1, 'HIT@5': '0.0039', 'NDCG@5': '0.0029', 'HIT@10': '0.0062', 'NDCG@10': '0.0036', 'HIT@20': '0.0112', 'NDCG@20': '0.0049'}
{'Epoch': 1, 'HIT@5': '0.0028', 'NDCG@5': '0.0018', 'HIT@10': '0.0045', 'NDCG@10': '0.0024', 'HIT@20': '0.0073', 'NDCG@20': '0.0031'}
{'Epoch': 1, 'HIT@5': '0.0039', 'NDCG@5': '0.0025', 'HIT@10': '0.0056', 'NDCG@10': '0.0031', 'HIT@20': '0.0096', 'NDCG@20': '0.0040'}
Model 1 (FMLPRecModel) Results: {'Epoch': 1, 'HIT@5': '0.0039', 'NDCG@5': '0.0029', 'HIT@10': '0.0062', 'NDCG@10': '0.0036', 'HIT@20': '0.0112', 'NDCG@20': '0.0049'}
Model 2 (Mamba4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0028', 'NDCG@5': '0.0018', 'HIT@10': '0.0045', 'NDCG@10': '0.0024', 'HIT@20': '0.0073', 'NDCG@20': '0.0031'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0039', 'NDCG@5': '0.0025', 'HIT@10': '0.0056', 'NDCG@10': '0.0031', 'HIT@20': '0.0096', 'NDCG@20': '0.0040'}
{'epoch': 2, 'avg_loss': '6.9447', 'avg_bpr_loss': '6.9402', 'avg_kd_loss': '0.0046'}
{'Epoch': 2, 'HIT@5': '0.0059', 'NDCG@5': '0.0040', 'HIT@10': '0.0084', 'NDCG@10': '0.0048', 'HIT@20': '0.0136', 'NDCG@20': '0.0061'}
{'Epoch': 2, 'HIT@5': '0.0093', 'NDCG@5': '0.0067', 'HIT@10': '0.0129', 'NDCG@10': '0.0078', 'HIT@20': '0.0197', 'NDCG@20': '0.0096'}
{'Epoch': 2, 'HIT@5': '0.0094', 'NDCG@5': '0.0063', 'HIT@10': '0.0131', 'NDCG@10': '0.0075', 'HIT@20': '0.0209', 'NDCG@20': '0.0095'}
Model 1 (FMLPRecModel) Results: {'Epoch': 2, 'HIT@5': '0.0059', 'NDCG@5': '0.0040', 'HIT@10': '0.0084', 'NDCG@10': '0.0048', 'HIT@20': '0.0136', 'NDCG@20': '0.0061'}
Model 2 (Mamba4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0093', 'NDCG@5': '0.0067', 'HIT@10': '0.0129', 'NDCG@10': '0.0078', 'HIT@20': '0.0197', 'NDCG@20': '0.0096'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0094', 'NDCG@5': '0.0063', 'HIT@10': '0.0131', 'NDCG@10': '0.0075', 'HIT@20': '0.0209', 'NDCG@20': '0.0095'}
{'Epoch': 2, 'HIT@5': '0.0059', 'NDCG@5': '0.0030', 'HIT@10': '0.0076', 'NDCG@10': '0.0035', 'HIT@20': '0.0143', 'NDCG@20': '0.0052'}
{'Epoch': 2, 'HIT@5': '0.0062', 'NDCG@5': '0.0039', 'HIT@10': '0.0107', 'NDCG@10': '0.0053', 'HIT@20': '0.0169', 'NDCG@20': '0.0068'}
{'Epoch': 2, 'HIT@5': '0.0059', 'NDCG@5': '0.0040', 'HIT@10': '0.0104', 'NDCG@10': '0.0055', 'HIT@20': '0.0163', 'NDCG@20': '0.0070'}
Model 1 (FMLPRecModel) Results: {'Epoch': 2, 'HIT@5': '0.0059', 'NDCG@5': '0.0030', 'HIT@10': '0.0076', 'NDCG@10': '0.0035', 'HIT@20': '0.0143', 'NDCG@20': '0.0052'}
Model 2 (Mamba4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0062', 'NDCG@5': '0.0039', 'HIT@10': '0.0107', 'NDCG@10': '0.0053', 'HIT@20': '0.0169', 'NDCG@20': '0.0068'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0059', 'NDCG@5': '0.0040', 'HIT@10': '0.0104', 'NDCG@10': '0.0055', 'HIT@20': '0.0163', 'NDCG@20': '0.0070'}
{'epoch': 3, 'avg_loss': '6.8888', 'avg_bpr_loss': '6.8815', 'avg_kd_loss': '0.0073'}
{'Epoch': 3, 'HIT@5': '0.0086', 'NDCG@5': '0.0060', 'HIT@10': '0.0126', 'NDCG@10': '0.0073', 'HIT@20': '0.0184', 'NDCG@20': '0.0087'}
{'Epoch': 3, 'HIT@5': '0.0173', 'NDCG@5': '0.0121', 'HIT@10': '0.0239', 'NDCG@10': '0.0142', 'HIT@20': '0.0322', 'NDCG@20': '0.0163'}
{'Epoch': 3, 'HIT@5': '0.0171', 'NDCG@5': '0.0119', 'HIT@10': '0.0261', 'NDCG@10': '0.0148', 'HIT@20': '0.0360', 'NDCG@20': '0.0173'}
Model 1 (FMLPRecModel) Results: {'Epoch': 3, 'HIT@5': '0.0086', 'NDCG@5': '0.0060', 'HIT@10': '0.0126', 'NDCG@10': '0.0073', 'HIT@20': '0.0184', 'NDCG@20': '0.0087'}
Model 2 (Mamba4Rec) Results: {'Epoch': 3, 'HIT@5': '0.0173', 'NDCG@5': '0.0121', 'HIT@10': '0.0239', 'NDCG@10': '0.0142', 'HIT@20': '0.0322', 'NDCG@20': '0.0163'}
Ensemble Results: {'Epoch': 3, 'HIT@5': '0.0171', 'NDCG@5': '0.0119', 'HIT@10': '0.0261', 'NDCG@10': '0.0148', 'HIT@20': '0.0360', 'NDCG@20': '0.0173'}
{'Epoch': 3, 'HIT@5': '0.0070', 'NDCG@5': '0.0046', 'HIT@10': '0.0115', 'NDCG@10': '0.0060', 'HIT@20': '0.0180', 'NDCG@20': '0.0076'}
{'Epoch': 3, 'HIT@5': '0.0138', 'NDCG@5': '0.0096', 'HIT@10': '0.0197', 'NDCG@10': '0.0115', 'HIT@20': '0.0287', 'NDCG@20': '0.0138'}
{'Epoch': 3, 'HIT@5': '0.0177', 'NDCG@5': '0.0114', 'HIT@10': '0.0239', 'NDCG@10': '0.0134', 'HIT@20': '0.0315', 'NDCG@20': '0.0153'}
Model 1 (FMLPRecModel) Results: {'Epoch': 3, 'HIT@5': '0.0070', 'NDCG@5': '0.0046', 'HIT@10': '0.0115', 'NDCG@10': '0.0060', 'HIT@20': '0.0180', 'NDCG@20': '0.0076'}
Model 2 (Mamba4Rec) Results: {'Epoch': 3, 'HIT@5': '0.0138', 'NDCG@5': '0.0096', 'HIT@10': '0.0197', 'NDCG@10': '0.0115', 'HIT@20': '0.0287', 'NDCG@20': '0.0138'}
Ensemble Results: {'Epoch': 3, 'HIT@5': '0.0177', 'NDCG@5': '0.0114', 'HIT@10': '0.0239', 'NDCG@10': '0.0134', 'HIT@20': '0.0315', 'NDCG@20': '0.0153'}
{'epoch': 4, 'avg_loss': '6.8622', 'avg_bpr_loss': '6.8475', 'avg_kd_loss': '0.0146'}
{'Epoch': 4, 'HIT@5': '0.0202', 'NDCG@5': '0.0135', 'HIT@10': '0.0281', 'NDCG@10': '0.0160', 'HIT@20': '0.0383', 'NDCG@20': '0.0186'}
{'Epoch': 4, 'HIT@5': '0.0194', 'NDCG@5': '0.0136', 'HIT@10': '0.0284', 'NDCG@10': '0.0164', 'HIT@20': '0.0400', 'NDCG@20': '0.0193'}
{'Epoch': 4, 'HIT@5': '0.0222', 'NDCG@5': '0.0151', 'HIT@10': '0.0326', 'NDCG@10': '0.0185', 'HIT@20': '0.0485', 'NDCG@20': '0.0225'}
Model 1 (FMLPRecModel) Results: {'Epoch': 4, 'HIT@5': '0.0202', 'NDCG@5': '0.0135', 'HIT@10': '0.0281', 'NDCG@10': '0.0160', 'HIT@20': '0.0383', 'NDCG@20': '0.0186'}
Model 2 (Mamba4Rec) Results: {'Epoch': 4, 'HIT@5': '0.0194', 'NDCG@5': '0.0136', 'HIT@10': '0.0284', 'NDCG@10': '0.0164', 'HIT@20': '0.0400', 'NDCG@20': '0.0193'}
Ensemble Results: {'Epoch': 4, 'HIT@5': '0.0222', 'NDCG@5': '0.0151', 'HIT@10': '0.0326', 'NDCG@10': '0.0185', 'HIT@20': '0.0485', 'NDCG@20': '0.0225'}
{'Epoch': 4, 'HIT@5': '0.0180', 'NDCG@5': '0.0113', 'HIT@10': '0.0256', 'NDCG@10': '0.0138', 'HIT@20': '0.0379', 'NDCG@20': '0.0169'}
{'Epoch': 4, 'HIT@5': '0.0188', 'NDCG@5': '0.0124', 'HIT@10': '0.0289', 'NDCG@10': '0.0157', 'HIT@20': '0.0424', 'NDCG@20': '0.0191'}
{'Epoch': 4, 'HIT@5': '0.0219', 'NDCG@5': '0.0139', 'HIT@10': '0.0312', 'NDCG@10': '0.0169', 'HIT@20': '0.0452', 'NDCG@20': '0.0205'}
Model 1 (FMLPRecModel) Results: {'Epoch': 4, 'HIT@5': '0.0180', 'NDCG@5': '0.0113', 'HIT@10': '0.0256', 'NDCG@10': '0.0138', 'HIT@20': '0.0379', 'NDCG@20': '0.0169'}
