Namespace(data_dir='./data/', output_dir='output/', data_name='Toys_and_Games', do_eval=False, ckp=0, hidden_size=64, embedding_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='GRU4Rec', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=1.5, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BPR', N=100, cuda_condition=True, data_file='./data/Toys_and_Games', item_size=11926, log_file='output/DWS-GRU4Rec-Mamba4Rec-Toys_and_Games-a1.0-b1.0-l1.5-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-GRU4Rec-Mamba4Rec-Toys_and_Games-a1.0-b1.0-l1.5-dwsb1.0-t0.0-1762757988.0286357.pt')
{'epoch': 0, 'avg_loss': '4.9419', 'avg_bpr_loss': '4.8383', 'avg_kd_loss': '0.1036'}
{'Epoch': 0, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0003', 'NDCG@10': '0.0001', 'HIT@20': '0.0008', 'NDCG@20': '0.0002'}
{'Epoch': 0, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0021', 'NDCG@10': '0.0009', 'HIT@20': '0.0031', 'NDCG@20': '0.0011'}
{'Epoch': 0, 'HIT@5': '0.0008', 'NDCG@5': '0.0003', 'HIT@10': '0.0018', 'NDCG@10': '0.0007', 'HIT@20': '0.0031', 'NDCG@20': '0.0010'}
Model 1 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0003', 'NDCG@10': '0.0001', 'HIT@20': '0.0008', 'NDCG@20': '0.0002'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0021', 'NDCG@10': '0.0009', 'HIT@20': '0.0031', 'NDCG@20': '0.0011'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0008', 'NDCG@5': '0.0003', 'HIT@10': '0.0018', 'NDCG@10': '0.0007', 'HIT@20': '0.0031', 'NDCG@20': '0.0010'}
{'Epoch': 0, 'HIT@5': '0.0005', 'NDCG@5': '0.0002', 'HIT@10': '0.0005', 'NDCG@10': '0.0002', 'HIT@20': '0.0021', 'NDCG@20': '0.0006'}
{'Epoch': 0, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0015', 'NDCG@10': '0.0005', 'HIT@20': '0.0021', 'NDCG@20': '0.0006'}
{'Epoch': 0, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0005', 'NDCG@10': '0.0002', 'HIT@20': '0.0010', 'NDCG@20': '0.0003'}
Model 1 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0005', 'NDCG@5': '0.0002', 'HIT@10': '0.0005', 'NDCG@10': '0.0002', 'HIT@20': '0.0021', 'NDCG@20': '0.0006'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0015', 'NDCG@10': '0.0005', 'HIT@20': '0.0021', 'NDCG@20': '0.0006'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0005', 'NDCG@10': '0.0002', 'HIT@20': '0.0010', 'NDCG@20': '0.0003'}
{'epoch': 1, 'avg_loss': '5.0136', 'avg_bpr_loss': '4.9946', 'avg_kd_loss': '0.0190'}
{'Epoch': 1, 'HIT@5': '0.0015', 'NDCG@5': '0.0012', 'HIT@10': '0.0033', 'NDCG@10': '0.0018', 'HIT@20': '0.0059', 'NDCG@20': '0.0025'}
{'Epoch': 1, 'HIT@5': '0.0098', 'NDCG@5': '0.0073', 'HIT@10': '0.0160', 'NDCG@10': '0.0093', 'HIT@20': '0.0183', 'NDCG@20': '0.0099'}
{'Epoch': 1, 'HIT@5': '0.0067', 'NDCG@5': '0.0050', 'HIT@10': '0.0103', 'NDCG@10': '0.0062', 'HIT@20': '0.0165', 'NDCG@20': '0.0077'}
Model 1 (GRU4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0015', 'NDCG@5': '0.0012', 'HIT@10': '0.0033', 'NDCG@10': '0.0018', 'HIT@20': '0.0059', 'NDCG@20': '0.0025'}
Model 2 (Mamba4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0098', 'NDCG@5': '0.0073', 'HIT@10': '0.0160', 'NDCG@10': '0.0093', 'HIT@20': '0.0183', 'NDCG@20': '0.0099'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0067', 'NDCG@5': '0.0050', 'HIT@10': '0.0103', 'NDCG@10': '0.0062', 'HIT@20': '0.0165', 'NDCG@20': '0.0077'}
Namespace(data_dir='./data/', output_dir='output/', data_name='Toys_and_Games', do_eval=False, ckp=0, hidden_size=64, embedding_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='GRU4Rec', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=1.5, dws_beta=1.0, kd_temperature=1.0, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BPR', N=100, cuda_condition=True, data_file='./data/Toys_and_Games', item_size=11926, log_file='output/DWS-GRU4Rec-Mamba4Rec-Toys_and_Games-a1.0-b1.0-l1.5-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-GRU4Rec-Mamba4Rec-Toys_and_Games-a1.0-b1.0-l1.5-dwsb1.0-t0.0-1762758127.3323252.pt')
{'Epoch': 1, 'HIT@5': '0.0021', 'NDCG@5': '0.0021', 'HIT@10': '0.0031', 'NDCG@10': '0.0024', 'HIT@20': '0.0041', 'NDCG@20': '0.0027'}
{'Epoch': 1, 'HIT@5': '0.0103', 'NDCG@5': '0.0083', 'HIT@10': '0.0129', 'NDCG@10': '0.0090', 'HIT@20': '0.0165', 'NDCG@20': '0.0099'}
{'Epoch': 1, 'HIT@5': '0.0088', 'NDCG@5': '0.0066', 'HIT@10': '0.0093', 'NDCG@10': '0.0067', 'HIT@20': '0.0113', 'NDCG@20': '0.0072'}
Model 1 (GRU4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0021', 'NDCG@5': '0.0021', 'HIT@10': '0.0031', 'NDCG@10': '0.0024', 'HIT@20': '0.0041', 'NDCG@20': '0.0027'}
Model 2 (Mamba4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0103', 'NDCG@5': '0.0083', 'HIT@10': '0.0129', 'NDCG@10': '0.0090', 'HIT@20': '0.0165', 'NDCG@20': '0.0099'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0088', 'NDCG@5': '0.0066', 'HIT@10': '0.0093', 'NDCG@10': '0.0067', 'HIT@20': '0.0113', 'NDCG@20': '0.0072'}
{'epoch': 0, 'avg_loss': '5.0315', 'avg_bpr_loss': '4.9310', 'avg_kd_loss': '0.1006'}
{'epoch': 2, 'avg_loss': '4.9337', 'avg_bpr_loss': '4.9286', 'avg_kd_loss': '0.0051'}
{'Epoch': 0, 'HIT@5': '0.0013', 'NDCG@5': '0.0009', 'HIT@10': '0.0026', 'NDCG@10': '0.0013', 'HIT@20': '0.0028', 'NDCG@20': '0.0014'}
{'Epoch': 0, 'HIT@5': '0.0023', 'NDCG@5': '0.0013', 'HIT@10': '0.0044', 'NDCG@10': '0.0019', 'HIT@20': '0.0090', 'NDCG@20': '0.0031'}
{'Epoch': 0, 'HIT@5': '0.0015', 'NDCG@5': '0.0008', 'HIT@10': '0.0028', 'NDCG@10': '0.0012', 'HIT@20': '0.0064', 'NDCG@20': '0.0021'}
Model 1 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0013', 'NDCG@5': '0.0009', 'HIT@10': '0.0026', 'NDCG@10': '0.0013', 'HIT@20': '0.0028', 'NDCG@20': '0.0014'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0023', 'NDCG@5': '0.0013', 'HIT@10': '0.0044', 'NDCG@10': '0.0019', 'HIT@20': '0.0090', 'NDCG@20': '0.0031'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0015', 'NDCG@5': '0.0008', 'HIT@10': '0.0028', 'NDCG@10': '0.0012', 'HIT@20': '0.0064', 'NDCG@20': '0.0021'}
{'Epoch': 2, 'HIT@5': '0.0046', 'NDCG@5': '0.0032', 'HIT@10': '0.0062', 'NDCG@10': '0.0037', 'HIT@20': '0.0106', 'NDCG@20': '0.0048'}
{'Epoch': 2, 'HIT@5': '0.0062', 'NDCG@5': '0.0045', 'HIT@10': '0.0085', 'NDCG@10': '0.0052', 'HIT@20': '0.0121', 'NDCG@20': '0.0061'}
{'Epoch': 0, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0015', 'NDCG@10': '0.0005', 'HIT@20': '0.0026', 'NDCG@20': '0.0007'}
{'Epoch': 2, 'HIT@5': '0.0090', 'NDCG@5': '0.0068', 'HIT@10': '0.0118', 'NDCG@10': '0.0077', 'HIT@20': '0.0165', 'NDCG@20': '0.0089'}
Model 1 (GRU4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0046', 'NDCG@5': '0.0032', 'HIT@10': '0.0062', 'NDCG@10': '0.0037', 'HIT@20': '0.0106', 'NDCG@20': '0.0048'}
Model 2 (Mamba4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0062', 'NDCG@5': '0.0045', 'HIT@10': '0.0085', 'NDCG@10': '0.0052', 'HIT@20': '0.0121', 'NDCG@20': '0.0061'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0090', 'NDCG@5': '0.0068', 'HIT@10': '0.0118', 'NDCG@10': '0.0077', 'HIT@20': '0.0165', 'NDCG@20': '0.0089'}
{'Epoch': 0, 'HIT@5': '0.0031', 'NDCG@5': '0.0016', 'HIT@10': '0.0062', 'NDCG@10': '0.0026', 'HIT@20': '0.0093', 'NDCG@20': '0.0033'}
{'Epoch': 0, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0057', 'NDCG@10': '0.0020', 'HIT@20': '0.0077', 'NDCG@20': '0.0026'}
Model 1 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0015', 'NDCG@10': '0.0005', 'HIT@20': '0.0026', 'NDCG@20': '0.0007'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0031', 'NDCG@5': '0.0016', 'HIT@10': '0.0062', 'NDCG@10': '0.0026', 'HIT@20': '0.0093', 'NDCG@20': '0.0033'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0057', 'NDCG@10': '0.0020', 'HIT@20': '0.0077', 'NDCG@20': '0.0026'}
{'Epoch': 2, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0031', 'NDCG@10': '0.0012', 'HIT@20': '0.0077', 'NDCG@20': '0.0023'}
{'Epoch': 2, 'HIT@5': '0.0067', 'NDCG@5': '0.0043', 'HIT@10': '0.0098', 'NDCG@10': '0.0054', 'HIT@20': '0.0144', 'NDCG@20': '0.0065'}
{'Epoch': 2, 'HIT@5': '0.0077', 'NDCG@5': '0.0055', 'HIT@10': '0.0098', 'NDCG@10': '0.0061', 'HIT@20': '0.0118', 'NDCG@20': '0.0066'}
Model 1 (GRU4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0031', 'NDCG@10': '0.0012', 'HIT@20': '0.0077', 'NDCG@20': '0.0023'}
Model 2 (Mamba4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0067', 'NDCG@5': '0.0043', 'HIT@10': '0.0098', 'NDCG@10': '0.0054', 'HIT@20': '0.0144', 'NDCG@20': '0.0065'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0077', 'NDCG@5': '0.0055', 'HIT@10': '0.0098', 'NDCG@10': '0.0061', 'HIT@20': '0.0118', 'NDCG@20': '0.0066'}
{'epoch': 1, 'avg_loss': '4.9111', 'avg_bpr_loss': '4.8893', 'avg_kd_loss': '0.0218'}
{'epoch': 3, 'avg_loss': '4.8342', 'avg_bpr_loss': '4.8201', 'avg_kd_loss': '0.0141'}
{'Epoch': 1, 'HIT@5': '0.0028', 'NDCG@5': '0.0018', 'HIT@10': '0.0093', 'NDCG@10': '0.0038', 'HIT@20': '0.0149', 'NDCG@20': '0.0053'}
{'Epoch': 1, 'HIT@5': '0.0106', 'NDCG@5': '0.0080', 'HIT@10': '0.0134', 'NDCG@10': '0.0089', 'HIT@20': '0.0191', 'NDCG@20': '0.0104'}
{'Epoch': 1, 'HIT@5': '0.0085', 'NDCG@5': '0.0067', 'HIT@10': '0.0121', 'NDCG@10': '0.0079', 'HIT@20': '0.0185', 'NDCG@20': '0.0095'}
Model 1 (GRU4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0028', 'NDCG@5': '0.0018', 'HIT@10': '0.0093', 'NDCG@10': '0.0038', 'HIT@20': '0.0149', 'NDCG@20': '0.0053'}
