Namespace(data_dir='./data/', output_dir='output/', data_name='Sports_and_Outdoors', do_eval=False, ckp=0, hidden_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='Linrec', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=2.5, dws_beta=1.0, kd_temperature=1.0, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/Sports_and_Outdoors', item_size=18359, log_file='output/DWS-Linrec-Mamba4Rec-Sports_and_Outdoors-a1.0-b1.0-l2.5-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-Linrec-Mamba4Rec-Sports_and_Outdoors-a1.0-b1.0-l2.5-dwsb1.0-t0.0-1762261840.1692958.pt')
Namespace(data_dir='./data/', output_dir='output/', data_name='Sports_and_Outdoors', do_eval=False, ckp=0, hidden_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='Linrec', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=2.5, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/Sports_and_Outdoors', item_size=18359, log_file='output/DWS-Linrec-Mamba4Rec-Sports_and_Outdoors-a1.0-b1.0-l2.5-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-Linrec-Mamba4Rec-Sports_and_Outdoors-a1.0-b1.0-l2.5-dwsb1.0-t0.0-1762261774.5667245.pt')
{'epoch': 0, 'avg_loss': '12.7289', 'avg_bpr_loss': '12.6387', 'avg_kd_loss': '0.0902'}
{'Epoch': 0, 'HIT@5': '0.0058', 'NDCG@5': '0.0035', 'HIT@10': '0.0069', 'NDCG@10': '0.0039', 'HIT@20': '0.0125', 'NDCG@20': '0.0053'}
{'Epoch': 0, 'HIT@5': '0.0065', 'NDCG@5': '0.0040', 'HIT@10': '0.0091', 'NDCG@10': '0.0049', 'HIT@20': '0.0126', 'NDCG@20': '0.0058'}
{'Epoch': 0, 'HIT@5': '0.0058', 'NDCG@5': '0.0035', 'HIT@10': '0.0097', 'NDCG@10': '0.0048', 'HIT@20': '0.0152', 'NDCG@20': '0.0062'}
Model 1 (Linrec) Results: {'Epoch': 0, 'HIT@5': '0.0058', 'NDCG@5': '0.0035', 'HIT@10': '0.0069', 'NDCG@10': '0.0039', 'HIT@20': '0.0125', 'NDCG@20': '0.0053'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0065', 'NDCG@5': '0.0040', 'HIT@10': '0.0091', 'NDCG@10': '0.0049', 'HIT@20': '0.0126', 'NDCG@20': '0.0058'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0058', 'NDCG@5': '0.0035', 'HIT@10': '0.0097', 'NDCG@10': '0.0048', 'HIT@20': '0.0152', 'NDCG@20': '0.0062'}
{'epoch': 0, 'avg_loss': '12.7147', 'avg_bpr_loss': '12.6278', 'avg_kd_loss': '0.0869'}
{'Epoch': 0, 'HIT@5': '0.0051', 'NDCG@5': '0.0033', 'HIT@10': '0.0070', 'NDCG@10': '0.0039', 'HIT@20': '0.0107', 'NDCG@20': '0.0049'}
{'Epoch': 0, 'HIT@5': '0.0045', 'NDCG@5': '0.0030', 'HIT@10': '0.0084', 'NDCG@10': '0.0043', 'HIT@20': '0.0115', 'NDCG@20': '0.0051'}
{'Epoch': 0, 'HIT@5': '0.0045', 'NDCG@5': '0.0030', 'HIT@10': '0.0065', 'NDCG@10': '0.0036', 'HIT@20': '0.0101', 'NDCG@20': '0.0045'}
Model 1 (Linrec) Results: {'Epoch': 0, 'HIT@5': '0.0051', 'NDCG@5': '0.0033', 'HIT@10': '0.0070', 'NDCG@10': '0.0039', 'HIT@20': '0.0107', 'NDCG@20': '0.0049'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0045', 'NDCG@5': '0.0030', 'HIT@10': '0.0084', 'NDCG@10': '0.0043', 'HIT@20': '0.0115', 'NDCG@20': '0.0051'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0045', 'NDCG@5': '0.0030', 'HIT@10': '0.0065', 'NDCG@10': '0.0036', 'HIT@20': '0.0101', 'NDCG@20': '0.0045'}
