Namespace(data_dir='./data/', output_dir='output/', data_name='Beauty', do_eval=False, ckp=0, hidden_size=64, embedding_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='GRU4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=1.0, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/Beauty', item_size=12103, log_file='output/DWS-SASRec-GRU4Rec-Beauty-a1.0-b1.0-l1.0-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-GRU4Rec-Beauty-a1.0-b1.0-l1.0-dwsb1.0-t0.0-1763925118.1650164.pt')
{'epoch': 0, 'avg_loss': '8.4252', 'avg_bpr_loss': '8.4054', 'avg_kd_loss': '0.0198'}
{'Epoch': 0, 'HIT@5': '0.0020', 'NDCG@5': '0.0014', 'HIT@10': '0.0040', 'NDCG@10': '0.0020', 'HIT@20': '0.0105', 'NDCG@20': '0.0036'}
{'Epoch': 0, 'HIT@5': '0.0058', 'NDCG@5': '0.0033', 'HIT@10': '0.0103', 'NDCG@10': '0.0047', 'HIT@20': '0.0154', 'NDCG@20': '0.0059'}
{'Epoch': 0, 'HIT@5': '0.0031', 'NDCG@5': '0.0017', 'HIT@10': '0.0065', 'NDCG@10': '0.0027', 'HIT@20': '0.0130', 'NDCG@20': '0.0044'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0020', 'NDCG@5': '0.0014', 'HIT@10': '0.0040', 'NDCG@10': '0.0020', 'HIT@20': '0.0105', 'NDCG@20': '0.0036'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0058', 'NDCG@5': '0.0033', 'HIT@10': '0.0103', 'NDCG@10': '0.0047', 'HIT@20': '0.0154', 'NDCG@20': '0.0059'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0031', 'NDCG@5': '0.0017', 'HIT@10': '0.0065', 'NDCG@10': '0.0027', 'HIT@20': '0.0130', 'NDCG@20': '0.0044'}
{'Epoch': 0, 'HIT@5': '0.0036', 'NDCG@5': '0.0026', 'HIT@10': '0.0067', 'NDCG@10': '0.0037', 'HIT@20': '0.0125', 'NDCG@20': '0.0051'}
{'Epoch': 0, 'HIT@5': '0.0054', 'NDCG@5': '0.0029', 'HIT@10': '0.0094', 'NDCG@10': '0.0043', 'HIT@20': '0.0165', 'NDCG@20': '0.0061'}
{'Epoch': 0, 'HIT@5': '0.0049', 'NDCG@5': '0.0032', 'HIT@10': '0.0098', 'NDCG@10': '0.0047', 'HIT@20': '0.0188', 'NDCG@20': '0.0069'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0036', 'NDCG@5': '0.0026', 'HIT@10': '0.0067', 'NDCG@10': '0.0037', 'HIT@20': '0.0125', 'NDCG@20': '0.0051'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0054', 'NDCG@5': '0.0029', 'HIT@10': '0.0094', 'NDCG@10': '0.0043', 'HIT@20': '0.0165', 'NDCG@20': '0.0061'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0049', 'NDCG@5': '0.0032', 'HIT@10': '0.0098', 'NDCG@10': '0.0047', 'HIT@20': '0.0188', 'NDCG@20': '0.0069'}
{'epoch': 1, 'avg_loss': '8.3385', 'avg_bpr_loss': '8.3321', 'avg_kd_loss': '0.0064'}
{'Epoch': 1, 'HIT@5': '0.0067', 'NDCG@5': '0.0041', 'HIT@10': '0.0092', 'NDCG@10': '0.0049', 'HIT@20': '0.0123', 'NDCG@20': '0.0056'}
