Namespace(data_dir='./data/', output_dir='output/', data_name='Sports_and_Outdoors', do_eval=False, ckp=0, hidden_size=64, embedding_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='GRU4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=2.0, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/Sports_and_Outdoors', item_size=18359, log_file='output/DWS-SASRec-GRU4Rec-Sports_and_Outdoors-a1.0-b1.0-l2.0-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-GRU4Rec-Sports_and_Outdoors-a1.0-b1.0-l2.0-dwsb1.0-t0.0-1764039112.3682265.pt')
{'epoch': 0, 'avg_loss': '11.2391', 'avg_bpr_loss': '11.2231', 'avg_kd_loss': '0.0160'}
{'Epoch': 0, 'HIT@5': '0.0032', 'NDCG@5': '0.0024', 'HIT@10': '0.0059', 'NDCG@10': '0.0032', 'HIT@20': '0.0100', 'NDCG@20': '0.0043'}
{'Epoch': 0, 'HIT@5': '0.0056', 'NDCG@5': '0.0037', 'HIT@10': '0.0074', 'NDCG@10': '0.0042', 'HIT@20': '0.0112', 'NDCG@20': '0.0052'}
{'Epoch': 0, 'HIT@5': '0.0055', 'NDCG@5': '0.0033', 'HIT@10': '0.0074', 'NDCG@10': '0.0039', 'HIT@20': '0.0108', 'NDCG@20': '0.0047'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0032', 'NDCG@5': '0.0024', 'HIT@10': '0.0059', 'NDCG@10': '0.0032', 'HIT@20': '0.0100', 'NDCG@20': '0.0043'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0056', 'NDCG@5': '0.0037', 'HIT@10': '0.0074', 'NDCG@10': '0.0042', 'HIT@20': '0.0112', 'NDCG@20': '0.0052'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0055', 'NDCG@5': '0.0033', 'HIT@10': '0.0074', 'NDCG@10': '0.0039', 'HIT@20': '0.0108', 'NDCG@20': '0.0047'}
{'Epoch': 0, 'HIT@5': '0.0031', 'NDCG@5': '0.0025', 'HIT@10': '0.0067', 'NDCG@10': '0.0036', 'HIT@20': '0.0124', 'NDCG@20': '0.0050'}
{'Epoch': 0, 'HIT@5': '0.0056', 'NDCG@5': '0.0036', 'HIT@10': '0.0093', 'NDCG@10': '0.0048', 'HIT@20': '0.0143', 'NDCG@20': '0.0060'}
{'Epoch': 0, 'HIT@5': '0.0056', 'NDCG@5': '0.0034', 'HIT@10': '0.0081', 'NDCG@10': '0.0042', 'HIT@20': '0.0118', 'NDCG@20': '0.0051'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0031', 'NDCG@5': '0.0025', 'HIT@10': '0.0067', 'NDCG@10': '0.0036', 'HIT@20': '0.0124', 'NDCG@20': '0.0050'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0056', 'NDCG@5': '0.0036', 'HIT@10': '0.0093', 'NDCG@10': '0.0048', 'HIT@20': '0.0143', 'NDCG@20': '0.0060'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0056', 'NDCG@5': '0.0034', 'HIT@10': '0.0081', 'NDCG@10': '0.0042', 'HIT@20': '0.0118', 'NDCG@20': '0.0051'}
{'epoch': 1, 'avg_loss': '11.1098', 'avg_bpr_loss': '11.1060', 'avg_kd_loss': '0.0038'}
{'Epoch': 1, 'HIT@5': '0.0052', 'NDCG@5': '0.0028', 'HIT@10': '0.0067', 'NDCG@10': '0.0033', 'HIT@20': '0.0101', 'NDCG@20': '0.0042'}
{'Epoch': 1, 'HIT@5': '0.0045', 'NDCG@5': '0.0027', 'HIT@10': '0.0081', 'NDCG@10': '0.0039', 'HIT@20': '0.0152', 'NDCG@20': '0.0056'}
{'Epoch': 1, 'HIT@5': '0.0051', 'NDCG@5': '0.0031', 'HIT@10': '0.0090', 'NDCG@10': '0.0044', 'HIT@20': '0.0146', 'NDCG@20': '0.0058'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0052', 'NDCG@5': '0.0028', 'HIT@10': '0.0067', 'NDCG@10': '0.0033', 'HIT@20': '0.0101', 'NDCG@20': '0.0042'}
Model 2 (GRU4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0045', 'NDCG@5': '0.0027', 'HIT@10': '0.0081', 'NDCG@10': '0.0039', 'HIT@20': '0.0152', 'NDCG@20': '0.0056'}
