Namespace(data_dir='./data/', output_dir='output/', data_name='Toys_and_Games', do_eval=False, ckp=0, hidden_size=64, embedding_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='GRU4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=0.3, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/Toys_and_Games', item_size=11926, log_file='output/DWS-SASRec-GRU4Rec-Toys_and_Games-a1.0-b1.0-l0.3-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-GRU4Rec-Toys_and_Games-a1.0-b1.0-l0.3-dwsb1.0-t0.0-1763952055.2011032.pt')
{'epoch': 0, 'avg_loss': '6.4465', 'avg_bpr_loss': '6.4250', 'avg_kd_loss': '0.0215'}
{'Epoch': 0, 'HIT@5': '0.0033', 'NDCG@5': '0.0016', 'HIT@10': '0.0059', 'NDCG@10': '0.0025', 'HIT@20': '0.0113', 'NDCG@20': '0.0038'}
{'Epoch': 0, 'HIT@5': '0.0064', 'NDCG@5': '0.0049', 'HIT@10': '0.0080', 'NDCG@10': '0.0054', 'HIT@20': '0.0137', 'NDCG@20': '0.0068'}
{'Epoch': 0, 'HIT@5': '0.0049', 'NDCG@5': '0.0039', 'HIT@10': '0.0070', 'NDCG@10': '0.0046', 'HIT@20': '0.0095', 'NDCG@20': '0.0053'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0033', 'NDCG@5': '0.0016', 'HIT@10': '0.0059', 'NDCG@10': '0.0025', 'HIT@20': '0.0113', 'NDCG@20': '0.0038'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0064', 'NDCG@5': '0.0049', 'HIT@10': '0.0080', 'NDCG@10': '0.0054', 'HIT@20': '0.0137', 'NDCG@20': '0.0068'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0049', 'NDCG@5': '0.0039', 'HIT@10': '0.0070', 'NDCG@10': '0.0046', 'HIT@20': '0.0095', 'NDCG@20': '0.0053'}
{'Epoch': 0, 'HIT@5': '0.0031', 'NDCG@5': '0.0015', 'HIT@10': '0.0051', 'NDCG@10': '0.0021', 'HIT@20': '0.0082', 'NDCG@20': '0.0029'}
{'Epoch': 0, 'HIT@5': '0.0036', 'NDCG@5': '0.0024', 'HIT@10': '0.0057', 'NDCG@10': '0.0030', 'HIT@20': '0.0113', 'NDCG@20': '0.0044'}
{'Epoch': 0, 'HIT@5': '0.0021', 'NDCG@5': '0.0012', 'HIT@10': '0.0046', 'NDCG@10': '0.0020', 'HIT@20': '0.0077', 'NDCG@20': '0.0028'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0031', 'NDCG@5': '0.0015', 'HIT@10': '0.0051', 'NDCG@10': '0.0021', 'HIT@20': '0.0082', 'NDCG@20': '0.0029'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0036', 'NDCG@5': '0.0024', 'HIT@10': '0.0057', 'NDCG@10': '0.0030', 'HIT@20': '0.0113', 'NDCG@20': '0.0044'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0021', 'NDCG@5': '0.0012', 'HIT@10': '0.0046', 'NDCG@10': '0.0020', 'HIT@20': '0.0077', 'NDCG@20': '0.0028'}
{'epoch': 1, 'avg_loss': '6.4024', 'avg_bpr_loss': '6.3963', 'avg_kd_loss': '0.0060'}
{'Epoch': 1, 'HIT@5': '0.0026', 'NDCG@5': '0.0018', 'HIT@10': '0.0033', 'NDCG@10': '0.0021', 'HIT@20': '0.0052', 'NDCG@20': '0.0025'}
{'Epoch': 1, 'HIT@5': '0.0026', 'NDCG@5': '0.0014', 'HIT@10': '0.0041', 'NDCG@10': '0.0019', 'HIT@20': '0.0106', 'NDCG@20': '0.0035'}
{'Epoch': 1, 'HIT@5': '0.0008', 'NDCG@5': '0.0007', 'HIT@10': '0.0041', 'NDCG@10': '0.0018', 'HIT@20': '0.0085', 'NDCG@20': '0.0029'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0026', 'NDCG@5': '0.0018', 'HIT@10': '0.0033', 'NDCG@10': '0.0021', 'HIT@20': '0.0052', 'NDCG@20': '0.0025'}
Model 2 (GRU4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0026', 'NDCG@5': '0.0014', 'HIT@10': '0.0041', 'NDCG@10': '0.0019', 'HIT@20': '0.0106', 'NDCG@20': '0.0035'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0008', 'NDCG@5': '0.0007', 'HIT@10': '0.0041', 'NDCG@10': '0.0018', 'HIT@20': '0.0085', 'NDCG@20': '0.0029'}
{'Epoch': 1, 'HIT@5': '0.0021', 'NDCG@5': '0.0009', 'HIT@10': '0.0041', 'NDCG@10': '0.0016', 'HIT@20': '0.0082', 'NDCG@20': '0.0026'}
{'Epoch': 1, 'HIT@5': '0.0026', 'NDCG@5': '0.0014', 'HIT@10': '0.0057', 'NDCG@10': '0.0024', 'HIT@20': '0.0098', 'NDCG@20': '0.0034'}
{'Epoch': 1, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0026', 'NDCG@10': '0.0010', 'HIT@20': '0.0103', 'NDCG@20': '0.0030'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0021', 'NDCG@5': '0.0009', 'HIT@10': '0.0041', 'NDCG@10': '0.0016', 'HIT@20': '0.0082', 'NDCG@20': '0.0026'}
Model 2 (GRU4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0026', 'NDCG@5': '0.0014', 'HIT@10': '0.0057', 'NDCG@10': '0.0024', 'HIT@20': '0.0098', 'NDCG@20': '0.0034'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0026', 'NDCG@10': '0.0010', 'HIT@20': '0.0103', 'NDCG@20': '0.0030'}
{'epoch': 2, 'avg_loss': '6.3951', 'avg_bpr_loss': '6.3915', 'avg_kd_loss': '0.0036'}
{'Epoch': 2, 'HIT@5': '0.0008', 'NDCG@5': '0.0004', 'HIT@10': '0.0018', 'NDCG@10': '0.0008', 'HIT@20': '0.0041', 'NDCG@20': '0.0014'}
{'Epoch': 2, 'HIT@5': '0.0031', 'NDCG@5': '0.0017', 'HIT@10': '0.0070', 'NDCG@10': '0.0030', 'HIT@20': '0.0088', 'NDCG@20': '0.0034'}
{'Epoch': 2, 'HIT@5': '0.0026', 'NDCG@5': '0.0017', 'HIT@10': '0.0036', 'NDCG@10': '0.0020', 'HIT@20': '0.0070', 'NDCG@20': '0.0028'}
Model 1 (SASRec) Results: {'Epoch': 2, 'HIT@5': '0.0008', 'NDCG@5': '0.0004', 'HIT@10': '0.0018', 'NDCG@10': '0.0008', 'HIT@20': '0.0041', 'NDCG@20': '0.0014'}
Model 2 (GRU4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0031', 'NDCG@5': '0.0017', 'HIT@10': '0.0070', 'NDCG@10': '0.0030', 'HIT@20': '0.0088', 'NDCG@20': '0.0034'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0026', 'NDCG@5': '0.0017', 'HIT@10': '0.0036', 'NDCG@10': '0.0020', 'HIT@20': '0.0070', 'NDCG@20': '0.0028'}
{'Epoch': 2, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0005', 'NDCG@10': '0.0002', 'HIT@20': '0.0021', 'NDCG@20': '0.0006'}
{'Epoch': 2, 'HIT@5': '0.0015', 'NDCG@5': '0.0012', 'HIT@10': '0.0036', 'NDCG@10': '0.0019', 'HIT@20': '0.0067', 'NDCG@20': '0.0026'}
{'Epoch': 2, 'HIT@5': '0.0010', 'NDCG@5': '0.0006', 'HIT@10': '0.0010', 'NDCG@10': '0.0006', 'HIT@20': '0.0036', 'NDCG@20': '0.0012'}
Model 1 (SASRec) Results: {'Epoch': 2, 'HIT@5': '0.0000', 'NDCG@5': '0.0000', 'HIT@10': '0.0005', 'NDCG@10': '0.0002', 'HIT@20': '0.0021', 'NDCG@20': '0.0006'}
Model 2 (GRU4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0015', 'NDCG@5': '0.0012', 'HIT@10': '0.0036', 'NDCG@10': '0.0019', 'HIT@20': '0.0067', 'NDCG@20': '0.0026'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0010', 'NDCG@5': '0.0006', 'HIT@10': '0.0010', 'NDCG@10': '0.0006', 'HIT@20': '0.0036', 'NDCG@20': '0.0012'}
{'epoch': 3, 'avg_loss': '6.3740', 'avg_bpr_loss': '6.3704', 'avg_kd_loss': '0.0036'}
{'Epoch': 3, 'HIT@5': '0.0057', 'NDCG@5': '0.0033', 'HIT@10': '0.0064', 'NDCG@10': '0.0035', 'HIT@20': '0.0067', 'NDCG@20': '0.0036'}
{'Epoch': 3, 'HIT@5': '0.0028', 'NDCG@5': '0.0022', 'HIT@10': '0.0041', 'NDCG@10': '0.0026', 'HIT@20': '0.0070', 'NDCG@20': '0.0033'}
{'Epoch': 3, 'HIT@5': '0.0044', 'NDCG@5': '0.0030', 'HIT@10': '0.0059', 'NDCG@10': '0.0036', 'HIT@20': '0.0085', 'NDCG@20': '0.0042'}
Model 1 (SASRec) Results: {'Epoch': 3, 'HIT@5': '0.0057', 'NDCG@5': '0.0033', 'HIT@10': '0.0064', 'NDCG@10': '0.0035', 'HIT@20': '0.0067', 'NDCG@20': '0.0036'}
Model 2 (GRU4Rec) Results: {'Epoch': 3, 'HIT@5': '0.0028', 'NDCG@5': '0.0022', 'HIT@10': '0.0041', 'NDCG@10': '0.0026', 'HIT@20': '0.0070', 'NDCG@20': '0.0033'}
Ensemble Results: {'Epoch': 3, 'HIT@5': '0.0044', 'NDCG@5': '0.0030', 'HIT@10': '0.0059', 'NDCG@10': '0.0036', 'HIT@20': '0.0085', 'NDCG@20': '0.0042'}
{'Epoch': 3, 'HIT@5': '0.0021', 'NDCG@5': '0.0010', 'HIT@10': '0.0021', 'NDCG@10': '0.0010', 'HIT@20': '0.0036', 'NDCG@20': '0.0014'}
{'Epoch': 3, 'HIT@5': '0.0021', 'NDCG@5': '0.0009', 'HIT@10': '0.0041', 'NDCG@10': '0.0015', 'HIT@20': '0.0077', 'NDCG@20': '0.0024'}
{'Epoch': 3, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0026', 'NDCG@10': '0.0010', 'HIT@20': '0.0093', 'NDCG@20': '0.0026'}
Model 1 (SASRec) Results: {'Epoch': 3, 'HIT@5': '0.0021', 'NDCG@5': '0.0010', 'HIT@10': '0.0021', 'NDCG@10': '0.0010', 'HIT@20': '0.0036', 'NDCG@20': '0.0014'}
Model 2 (GRU4Rec) Results: {'Epoch': 3, 'HIT@5': '0.0021', 'NDCG@5': '0.0009', 'HIT@10': '0.0041', 'NDCG@10': '0.0015', 'HIT@20': '0.0077', 'NDCG@20': '0.0024'}
Ensemble Results: {'Epoch': 3, 'HIT@5': '0.0015', 'NDCG@5': '0.0007', 'HIT@10': '0.0026', 'NDCG@10': '0.0010', 'HIT@20': '0.0093', 'NDCG@20': '0.0026'}
{'epoch': 4, 'avg_loss': '6.3247', 'avg_bpr_loss': '6.3126', 'avg_kd_loss': '0.0121'}
{'Epoch': 4, 'HIT@5': '0.0003', 'NDCG@5': '0.0002', 'HIT@10': '0.0013', 'NDCG@10': '0.0005', 'HIT@20': '0.0033', 'NDCG@20': '0.0010'}
{'Epoch': 4, 'HIT@5': '0.0044', 'NDCG@5': '0.0028', 'HIT@10': '0.0052', 'NDCG@10': '0.0031', 'HIT@20': '0.0067', 'NDCG@20': '0.0035'}
