Namespace(data_dir='./data/', output_dir='output/', data_name='LastFM', do_eval=False, ckp=0, hidden_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=3.0, dws_beta=1.0, kd_temperature=1.0, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/LastFM', item_size=3648, log_file='output/DWS-SASRec-Mamba4Rec-LastFM-a1.0-b1.0-l3.0-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-Mamba4Rec-LastFM-a1.0-b1.0-l3.0-dwsb1.0-t0.0-1761816447.290998.pt')
Namespace(data_dir='./data/', output_dir='output/', data_name='LastFM', do_eval=False, ckp=0, hidden_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=3.0, dws_beta=1.0, kd_temperature=2.0, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/LastFM', item_size=3648, log_file='output/DWS-SASRec-Mamba4Rec-LastFM-a1.0-b1.0-l3.0-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-Mamba4Rec-LastFM-a1.0-b1.0-l3.0-dwsb1.0-t0.0-1761816448.6230428.pt')
Namespace(data_dir='./data/', output_dir='output/', data_name='LastFM', do_eval=False, ckp=0, hidden_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=3.0, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/LastFM', item_size=3648, log_file='output/DWS-SASRec-Mamba4Rec-LastFM-a1.0-b1.0-l3.0-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-Mamba4Rec-LastFM-a1.0-b1.0-l3.0-dwsb1.0-t0.0-1761816448.0444906.pt')
{'epoch': 0, 'avg_loss': '14.0527', 'avg_bpr_loss': '13.9217', 'avg_kd_loss': '0.1309'}
{'epoch': 0, 'avg_loss': '14.0793', 'avg_bpr_loss': '13.9458', 'avg_kd_loss': '0.1335'}
{'epoch': 0, 'avg_loss': '14.1157', 'avg_bpr_loss': '13.9793', 'avg_kd_loss': '0.1364'}
{'Epoch': 0, 'HIT@5': '0.0104', 'NDCG@5': '0.0065', 'HIT@10': '0.0226', 'NDCG@10': '0.0104', 'HIT@20': '0.0440', 'NDCG@20': '0.0158'}
{'Epoch': 0, 'HIT@5': '0.0135', 'NDCG@5': '0.0078', 'HIT@10': '0.0246', 'NDCG@10': '0.0113', 'HIT@20': '0.0449', 'NDCG@20': '0.0164'}
{'Epoch': 0, 'HIT@5': '0.0208', 'NDCG@5': '0.0145', 'HIT@10': '0.0307', 'NDCG@10': '0.0178', 'HIT@20': '0.0429', 'NDCG@20': '0.0208'}
{'Epoch': 0, 'HIT@5': '0.0212', 'NDCG@5': '0.0146', 'HIT@10': '0.0298', 'NDCG@10': '0.0173', 'HIT@20': '0.0447', 'NDCG@20': '0.0210'}
{'Epoch': 0, 'HIT@5': '0.0126', 'NDCG@5': '0.0074', 'HIT@10': '0.0219', 'NDCG@10': '0.0104', 'HIT@20': '0.0420', 'NDCG@20': '0.0155'}
{'Epoch': 0, 'HIT@5': '0.0253', 'NDCG@5': '0.0176', 'HIT@10': '0.0395', 'NDCG@10': '0.0223', 'HIT@20': '0.0537', 'NDCG@20': '0.0258'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0104', 'NDCG@5': '0.0065', 'HIT@10': '0.0226', 'NDCG@10': '0.0104', 'HIT@20': '0.0440', 'NDCG@20': '0.0158'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0208', 'NDCG@5': '0.0145', 'HIT@10': '0.0307', 'NDCG@10': '0.0178', 'HIT@20': '0.0429', 'NDCG@20': '0.0208'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0253', 'NDCG@5': '0.0176', 'HIT@10': '0.0395', 'NDCG@10': '0.0223', 'HIT@20': '0.0537', 'NDCG@20': '0.0258'}
{'Epoch': 0, 'HIT@5': '0.0260', 'NDCG@5': '0.0179', 'HIT@10': '0.0400', 'NDCG@10': '0.0224', 'HIT@20': '0.0524', 'NDCG@20': '0.0255'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0135', 'NDCG@5': '0.0078', 'HIT@10': '0.0246', 'NDCG@10': '0.0113', 'HIT@20': '0.0449', 'NDCG@20': '0.0164'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0212', 'NDCG@5': '0.0146', 'HIT@10': '0.0298', 'NDCG@10': '0.0173', 'HIT@20': '0.0447', 'NDCG@20': '0.0210'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0260', 'NDCG@5': '0.0179', 'HIT@10': '0.0400', 'NDCG@10': '0.0224', 'HIT@20': '0.0524', 'NDCG@20': '0.0255'}
{'Epoch': 0, 'HIT@5': '0.0201', 'NDCG@5': '0.0143', 'HIT@10': '0.0321', 'NDCG@10': '0.0182', 'HIT@20': '0.0427', 'NDCG@20': '0.0208'}
{'Epoch': 0, 'HIT@5': '0.0260', 'NDCG@5': '0.0179', 'HIT@10': '0.0391', 'NDCG@10': '0.0221', 'HIT@20': '0.0558', 'NDCG@20': '0.0263'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0126', 'NDCG@5': '0.0074', 'HIT@10': '0.0219', 'NDCG@10': '0.0104', 'HIT@20': '0.0420', 'NDCG@20': '0.0155'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0201', 'NDCG@5': '0.0143', 'HIT@10': '0.0321', 'NDCG@10': '0.0182', 'HIT@20': '0.0427', 'NDCG@20': '0.0208'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0260', 'NDCG@5': '0.0179', 'HIT@10': '0.0391', 'NDCG@10': '0.0221', 'HIT@20': '0.0558', 'NDCG@20': '0.0263'}
